,tokens,class
0,"['come', 'mel', 'morde', 'marimbondo']",-1
1,"['pinto', 'orgulho']",-1
2,"['vê', 'merda', 'crepúsculo', 'pra', 'cinebiografia', 'chuck', 'norris']",-1
3,"['tapa', 'bundinha', 'cotovelada', 'costas']",-1
4,"['diminutivo', 'inho', 'acompanha', 'trajetória', 'homem', 'verdade']",3.1
5,"['uns', 'saco', 'culhões']",-1
6,"['futebol', 'hoje', 'politicamente', 'correto', 'profissional', 'coisa', 'homem', 'verdadeé', 'mariquinhafutebol', 'ter', 'porrada']",3.1
7,"['água', 'essencial', 'coisa', 'maricas', 'cerveja', 'essencial']",4.2.2
8,"['barriga', 'calo', 'sexual']",-1
9,"['manda', 'ajustar', 'calça', 'deixa', 'espaço', 'pra', 'smith', 'wesson', 'entrar', 'ação']",-1
10,"['morte', 'hipsters', 'camisetas', 'cores', 'citricas', 'morte', 'meias', 'coloridinhas', 'cuequinhas', 'alegres']",-1
11,"['homemdeverdade', 'namorada', 'fêmea', 'temporária']",3.3
12,"['apesar', 'serem', 'australia', 'acdc', 'banda', 'homens', 'verdade']",-1
13,"['homemdeverdade', 'come', 'frango', 'cru', 'nao', 'passarinho']",-1
14,"['fato', 'muita', 'mulher', 'homemdeverdade', 'mariquinha', 'fresco', 'ai']",3.1
15,"['homemdeverdade', 'usa', 'capa', 'chuva', 'homemdeverdade', 'nada', 'tsunami']",3.1
16,"['gosta', 'acdc', 'fodemal', 'homemdeverdade']",3.1
17,"['jamais', 'confunda', 'homem', 'porco', 'homemdeverdade', 'homemdeverdade', 'sabe', 'bem', 'hora', 'lavar', 'mãos']",-1
18,"['homemdeverdade', 'usa', 'barba', 'bigode', 'coisa', 'pelinha', 'lisinha', 'pra', 'gente', 'bunda', 'mulher']",3.1
19,"['luizsergiovo', 'pós', 'moderno', 'coisa', 'homemdeverdade', 'portanto', 'fodemal']",3.1
20,"['homemdeverdade', 'pega', 'forte', 'cintura', 'fêmea', 'coisa', 'delicadeza', 'nessas', 'horas', 'desses', 'jonnys', 'manés', 'citricos', 'bunda', 'mole']",3.3
21,"['homemdeverdade', 'pode', 'vegetariano', 'gente', 'sempre', 'topo', 'cadeia', 'alimentar']",11.4
22,"['fato', 'plena', 'extinção', 'mundo', 'sendo', 'dominado', 'bibasexuais', 'creminhosexuais', 'saladinhasexuais', 'metrosexufrangas']",4
23,"['foco', 'resistência', 'antifrangas', 'modernas', 'culhões']",-1
24,"['confissões', 'homemdeverdade', 'hora', 'banho', 'toma', 'pressa', 'curte', 'água', 'limpa', 'umbigo', 'soca', 'bronha', 'melhor', 'parte']",3.1
25,"['vc', 'namorado', 'diz', 'olha', 'gostosas', 'bate', 'umazinha', 'nunca', 'fuja', 'franguinha', 'caráter']",3.1
26,"['rt', 'heto', 'cientificamente', 'comprovado', 'curte', 'pornozinho', 'homemdeverdade']",3.1
27,"['rt', 'gmarangoni', 'terry', 'richardson', 'fotógrafo', 'calendário', 'pirelli', '2010', 'profissão', 'homemdeverdade', 'httptinyurlcomyghn7oa']",-1
28,"['homemdeverdade', 'gosta', 'averdadeeh', 'rodeios']",-1
29,"['enciclopédia', 'homemdeverdade', 'futebol', 'hora', 'sagrada', 'churrasco', 'cerveja', 'gelada', 'gosta', 'vaza', 'fêmeas', 'shopping']",3.3
30,"['mestre', 'carinholuiz', 'carlos', 'alborghetti', '120219459122009', 'jornalista', 'radialista', 'culhões', 'homemdeverdade', 'rip']",-1
31,"['xxxtrabold', 'claro', 'homemdeverdade', 'comentou', 'nada', 'porque', 'algumas', 'horas', 'luto', 'reflexão', 'sobre', 'obra', 'brinde', 'mestre']",-1
32,"['dadoqueiroz', 'homemdeverdade', 'acompanha', 'time', 'meninas']",3.3
33,"['homemdeverdade', 'manda', 'salve', 'pra', 'imagem', 'semana', 'amamos', 'httpbitly7uebm0']",-1
34,"['homemdeverdade', 'fez', 'serviço', 'cara', 'silvio', 'berlusconi']",-1
35,"['lenazzo', 'homemdeverdade', 'ter', '2', 'filhos', '24', 'territórios', 'escolha']",3.1
36,"['rt', 'lenazzo', 'homemdeverdade', 'nao', 'paga', 'pau', 'paga', 'mocreia', 'tirar', 'zica']",3.1
37,"['pra', 'deixar', 'claro', 'homemdeverdade', 'faz', 'clube', 'macho', 'turminha', 'foda', 'merdas', 'machistas', 'baitolas', 'recatadas']",3.1
38,"['rt', 'chastinet', 'pro', 'homemdeverdade', 'construção', 'resume', 'duas', 'coisas', 'concreto', 'madeira']",3.1
39,"['rt', 'lenazzo', 'homemdeverdade', 'eh', 'akele', 'q', 'sabe', 'procriar', 'deixar', 'vestigios']",3.1
40,"['sugestões', '2010', 'melhor', 'canonizar', 'punheta', 'santa', 'punheta', 'sagrada', 'bronha', 'domingo', 'melhor', 'amiga', 'homemdeverdade']",3.1
