,tokens,class
0,"['não', 'come', 'mel', 'morde', 'marimbondo']",-1
1,"['não', 'tem', 'pinto', 'tem', 'orgulho']",-1
2,"['não', 'vê', 'essa', 'merda', 'de', 'crepúsculo', 'pra', 'isso', 'temos', 'a', 'cinebiografia', 'do', 'chuck', 'norris']",-1
3,"['não', 'da', 'tapa', 'na', 'bundinha', 'da', 'cotovelada', 'nas', 'costas']",-1
4,"['o', 'diminutivo', 'inho', 'não', 'acompanha', 'a', 'trajetória', 'de', 'um', 'homem', 'de', 'verdade']",3.1
5,"['uns', 'tem', 'saco', 'nós', 'temos', 'culhões']",-1
6,"['esse', 'futebol', 'de', 'hoje', 'politicamente', 'correto', 'e', 'profissional', 'não', 'é', 'coisa', 'de', 'homem', 'de', 'verdadeé', 'de', 'mariquinhafutebol', 'tem', 'que', 'ter', 'porrada']",3.1
7,"['água', 'ser', 'essencial', 'é', 'coisa', 'de', 'maricas', 'cerveja', 'é', 'essencial']",4.2.2
8,"['não', 'tem', 'barriga', 'tem', 'calo', 'sexual']",-1
9,"['não', 'manda', 'ajustar', 'a', 'calça', 'deixa', 'um', 'espaço', 'pra', 'sua', 'smith', 'wesson', 'entrar', 'em', 'ação']",-1
10,"['morte', 'aos', 'hipsters', 'a', 'as', 'camisetas', 'de', 'cores', 'citricas', 'morte', 'a', 'meias', 'coloridinhas', 'e', 'as', 'cuequinhas', 'alegres']",-1
11,"['homemdeverdade', 'não', 'tem', 'namorada', 'tem', 'fêmea', 'temporária']",3.3
12,"['apesar', 'de', 'serem', 'da', 'australia', 'acdc', 'é', 'uma', 'banda', 'de', 'homens', 'de', 'verdade']",-1
13,"['homemdeverdade', 'come', 'frango', 'cru', 'nao', 'a', 'passarinho']",-1
14,"['fato', 'tem', 'muita', 'mulher', 'que', 'é', 'muito', 'mais', 'homemdeverdade', 'do', 'que', 'muito', 'mariquinha', 'fresco', 'por', 'ai']",3.1
15,"['homemdeverdade', 'não', 'usa', 'capa', 'de', 'chuva', 'homemdeverdade', 'nada', 'em', 'tsunami']",3.1
16,"['quem', 'não', 'gosta', 'de', 'acdc', 'fodemal', 'e', 'não', 'é', 'homemdeverdade']",3.1
17,"['jamais', 'confunda', 'um', 'homem', 'porco', 'a', 'um', 'homemdeverdade', 'um', 'homemdeverdade', 'sabe', 'bem', 'a', 'hora', 'de', 'lavar', 'as', 'mãos']",-1
18,"['homemdeverdade', 'usa', 'barba', 'ou', 'bigode', 'essa', 'coisa', 'de', 'pelinha', 'lisinha', 'pra', 'gente', 'é', 'bunda', 'de', 'mulher']",3.1
19,"['luizsergiovo', 'ser', 'pós', 'moderno', 'não', 'é', 'coisa', 'de', 'homemdeverdade', 'portanto', 'fodemal']",3.1
20,"['homemdeverdade', 'pega', 'forte', 'na', 'cintura', 'da', 'sua', 'fêmea', 'essa', 'coisa', 'de', 'delicadeza', 'nessas', 'horas', 'é', 'desses', 'jonnys', 'manés', 'citricos', 'bunda', 'mole']",3.3
21,"['homemdeverdade', 'não', 'pode', 'ser', 'vegetariano', 'a', 'gente', 'esta', 'sempre', 'no', 'topo', 'da', 'cadeia', 'alimentar']",11.4
22,"['fato', 'estamos', 'em', 'plena', 'extinção', 'o', 'mundo', 'esta', 'sendo', 'dominado', 'por', 'bibasexuais', 'creminhosexuais', 'saladinhasexuais', 'metrosexufrangas']",4
23,"['somos', 'o', 'foco', 'da', 'resistência', 'antifrangas', 'modernas', 'sem', 'culhões']",-1
24,"['confissões', 'de', 'um', 'homemdeverdade', 'na', 'hora', 'do', 'banho', 'toma', 'sem', 'pressa', 'curte', 'a', 'água', 'não', 'limpa', 'o', 'umbigo', 'e', 'soca', 'uma', 'bronha', 'melhor', 'parte']",3.1
25,"['se', 'vc', 'tem', 'um', 'namorado', 'que', 'diz', 'que', 'não', 'olha', 'para', 'as', 'gostosas', 'e', 'que', 'não', 'bate', 'umazinha', 'nunca', 'fuja', 'é', 'uma', 'franguinha', 'sem', 'caráter']",3.1
26,"['rt', 'heto', 'cientificamente', 'comprovado', 'se', 'não', 'curte', 'um', 'pornozinho', 'não', 'é', 'homemdeverdade']",3.1
27,"['rt', 'gmarangoni', 'terry', 'richardson', 'fotógrafo', 'do', 'calendário', 'da', 'pirelli', '2010', 'profissão', 'homemdeverdade', 'httptinyurlcomyghn7oa']",-1
28,"['homemdeverdade', 'gosta', 'quando', 'averdadeeh', 'sem', 'rodeios']",-1
29,"['enciclopédia', 'homemdeverdade', 'futebol', 'hora', 'sagrada', 'churrasco', 'cerveja', 'gelada', 'não', 'gosta', 'vaza', 'fêmeas', 'no', 'shopping']",3.3
