,tokens,class
0,"['não', 'come', 'mel', 'morde', 'marimbondo']",-1
1,"['não', 'tem', 'pinto', 'tem', 'orgulho']",-1
2,"['não', 'vê', 'essa', 'merda', 'de', 'crepúsculo', 'pra', 'isso', 'temos', 'a', 'cinebiografia', 'do', 'chuck', 'norris']",-1
3,"['não', 'da', 'tapa', 'na', 'bundinha', 'da', 'cotovelada', 'nas', 'costas']",-1
4,"['o', 'diminutivo', 'inho', 'não', 'acompanha', 'a', 'trajetória', 'de', 'um', 'homem', 'de', 'verdade']",3.1
5,"['uns', 'tem', 'saco', 'nós', 'temos', 'culhões']",-1
6,"['esse', 'futebol', 'de', 'hoje', 'politicamente', 'correto', 'e', 'profissional', 'não', 'é', 'coisa', 'de', 'homem', 'de', 'verdadeé', 'de', 'mariquinhafutebol', 'tem', 'que', 'ter', 'porrada']",3.1
7,"['água', 'ser', 'essencial', 'é', 'coisa', 'de', 'maricas', 'cerveja', 'é', 'essencial']",4.2.2
8,"['não', 'tem', 'barriga', 'tem', 'calo', 'sexual']",-1
9,"['não', 'manda', 'ajustar', 'a', 'calça', 'deixa', 'um', 'espaço', 'pra', 'sua', 'smith', 'wesson', 'entrar', 'em', 'ação']",-1
10,"['morte', 'aos', 'hipsters', 'a', 'as', 'camisetas', 'de', 'cores', 'citricas', 'morte', 'a', 'meias', 'coloridinhas', 'e', 'as', 'cuequinhas', 'alegres']",-1
11,"['homemdeverdade', 'não', 'tem', 'namorada', 'tem', 'fêmea', 'temporária']",3.3
12,"['apesar', 'de', 'serem', 'da', 'australia', 'acdc', 'é', 'uma', 'banda', 'de', 'homens', 'de', 'verdade']",-1
13,"['homemdeverdade', 'come', 'frango', 'cru', 'nao', 'a', 'passarinho']",-1
14,"['fato', 'tem', 'muita', 'mulher', 'que', 'é', 'muito', 'mais', 'homemdeverdade', 'do', 'que', 'muito', 'mariquinha', 'fresco', 'por', 'ai']",3.1
15,"['homemdeverdade', 'não', 'usa', 'capa', 'de', 'chuva', 'homemdeverdade', 'nada', 'em', 'tsunami']",3.1
16,"['quem', 'não', 'gosta', 'de', 'acdc', 'fodemal', 'e', 'não', 'é', 'homemdeverdade']",3.1
17,"['jamais', 'confunda', 'um', 'homem', 'porco', 'a', 'um', 'homemdeverdade', 'um', 'homemdeverdade', 'sabe', 'bem', 'a', 'hora', 'de', 'lavar', 'as', 'mãos']",-1
18,"['homemdeverdade', 'usa', 'barba', 'ou', 'bigode', 'essa', 'coisa', 'de', 'pelinha', 'lisinha', 'pra', 'gente', 'é', 'bunda', 'de', 'mulher']",3.1
19,"['luizsergiovo', 'ser', 'pós', 'moderno', 'não', 'é', 'coisa', 'de', 'homemdeverdade', 'portanto', 'fodemal']",3.1
20,"['homemdeverdade', 'pega', 'forte', 'na', 'cintura', 'da', 'sua', 'fêmea', 'essa', 'coisa', 'de', 'delicadeza', 'nessas', 'horas', 'é', 'desses', 'jonnys', 'manés', 'citricos', 'bunda', 'mole']",3.3
21,"['homemdeverdade', 'não', 'pode', 'ser', 'vegetariano', 'a', 'gente', 'esta', 'sempre', 'no', 'topo', 'da', 'cadeia', 'alimentar']",11.4
22,"['fato', 'estamos', 'em', 'plena', 'extinção', 'o', 'mundo', 'esta', 'sendo', 'dominado', 'por', 'bibasexuais', 'creminhosexuais', 'saladinhasexuais', 'metrosexufrangas']",4
23,"['somos', 'o', 'foco', 'da', 'resistência', 'antifrangas', 'modernas', 'sem', 'culhões']",-1
24,"['confissões', 'de', 'um', 'homemdeverdade', 'na', 'hora', 'do', 'banho', 'toma', 'sem', 'pressa', 'curte', 'a', 'água', 'não', 'limpa', 'o', 'umbigo', 'e', 'soca', 'uma', 'bronha', 'melhor', 'parte']",3.1
25,"['se', 'vc', 'tem', 'um', 'namorado', 'que', 'diz', 'que', 'não', 'olha', 'para', 'as', 'gostosas', 'e', 'que', 'não', 'bate', 'umazinha', 'nunca', 'fuja', 'é', 'uma', 'franguinha', 'sem', 'caráter']",3.1
26,"['rt', 'heto', 'cientificamente', 'comprovado', 'se', 'não', 'curte', 'um', 'pornozinho', 'não', 'é', 'homemdeverdade']",3.1
27,"['rt', 'gmarangoni', 'terry', 'richardson', 'fotógrafo', 'do', 'calendário', 'da', 'pirelli', '2010', 'profissão', 'homemdeverdade', 'httptinyurlcomyghn7oa']",-1
28,"['homemdeverdade', 'gosta', 'quando', 'averdadeeh', 'sem', 'rodeios']",-1
29,"['enciclopédia', 'homemdeverdade', 'futebol', 'hora', 'sagrada', 'churrasco', 'cerveja', 'gelada', 'não', 'gosta', 'vaza', 'fêmeas', 'no', 'shopping']",3.3
30,"['ao', 'mestre', 'com', 'carinholuiz', 'carlos', 'alborghetti', '120219459122009', 'jornalista', 'radialista', 'com', 'culhões', 'e', 'homemdeverdade', 'rip']",-1
31,"['xxxtrabold', 'claro', 'homemdeverdade', 'não', 'comentou', 'nada', 'porque', 'esteve', 'em', 'algumas', 'horas', 'de', 'luto', 'e', 'reflexão', 'sobre', 'sua', 'obra', 'brinde', 'ao', 'mestre']",-1
32,"['dadoqueiroz', 'homemdeverdade', 'não', 'acompanha', 'time', 'de', 'meninas']",3.3
33,"['homemdeverdade', 'manda', 'um', 'salve', 'pra', 'imagem', 'da', 'semana', 'nós', 'te', 'amamos', 'httpbitly7uebm0']",-1
34,"['homemdeverdade', 'fez', 'um', 'serviço', 'na', 'cara', 'do', 'silvio', 'berlusconi']",-1
35,"['lenazzo', 'homemdeverdade', 'mesmo', 'tem', 'que', 'ter', '2', 'filhos', 'em', '24', 'territórios', 'a', 'sua', 'escolha']",3.1
36,"['rt', 'lenazzo', 'homemdeverdade', 'nao', 'paga', 'pau', 'ele', 'paga', 'uma', 'mocreia', 'para', 'tirar', 'a', 'zica']",3.1
37,"['só', 'pra', 'deixar', 'claro', 'homemdeverdade', 'não', 'faz', 'clube', 'do', 'macho', 'turminha', 'da', 'foda', 'essas', 'merdas', 'machistas', 'de', 'baitolas', 'recatadas']",3.1
38,"['rt', 'chastinet', 'pro', 'homemdeverdade', 'construção', 'se', 'resume', 'a', 'duas', 'coisas', 'concreto', 'e', 'madeira']",3.1
39,"['rt', 'lenazzo', 'um', 'homemdeverdade', 'eh', 'akele', 'q', 'sabe', 'procriar', 'sem', 'deixar', 'vestigios']",3.1
40,"['sugestões', 'para', 'um', '2010', 'melhor', 'canonizar', 'a', 'punheta', 'a', 'santa', 'punheta', 'a', 'sagrada', 'bronha', 'de', 'domingo', 'melhor', 'amiga', 'do', 'homemdeverdade']",3.1
41,"['sugestões', 'para', 'um', '2010', 'melhor', 'colocar', 'chuck', 'norris', 'como', 'protagonista', 'da', 'série', 'de', 'tv', '24hs']",-1
42,"['sugestões', 'para', 'um', '2010', 'melhor', 'menos', 'calcinha', 'preta', 'nas', 'rádios', 'aliás', 'sem', 'calcinha', 'é', 'bem', 'melhor']",-1
43,"['as', 'melhores', 'mulheres', 'são', 'as', 'que', 'querem', 'trepar', 'com', 'você', 'e', 'as', 'piores', 'são', 'as', 'que', 'não', 'querem', 'lemmy', 'motörhead', 'homemdeverdade']",3.3
44,"['homem', 'de', 'verdade', 'que', 'não', 'sabe', 'desenhar', 'um', 'pinto', 'não', 'conhece', 'o', 'pau', 'que', 'tem', 'honre', 'seu', 'pinto']",3.1
45,"['homemdeverdade', 'é', 'viver', 'com', 'dignidade', 'é', 'um', 'conceito', 'em', 'extinção', 'plena', 'aqui', 'tem', 'o', 'foco', 'da', 'resistência']",-1
46,"['gostar', 'de', 'mulher', 'sem', 'ter', 'vergonha', 'twittealgomuitoantigo']",-1
47,"['heterosexual', 'e', 'homem', 'de', 'verdade', 'twittealgomuitoantigo']",3.1
48,"['saber', 'pegar', 'sua', 'mulher', 'sem', 'parecer', 'um', 'babaca', 'twittealgomuitoantigo']",3.3
49,"['geisy', 'no', 'fantástico', 'se', 'deu', 'nota', '8', 'más', 'noticias', 'geisy', 'isso', 'é', 'ilegal', 'a', 'gente', 'é', 'quem', 'tem', 'que', 'dar', 'a', 'nota', 'e', 'vc', 'é', 'um', '4', 'ruim']",-1
50,"['lenazzo', 'os', 'parametros', 'para', 'notas', 'são', 'complexos', 'em', 'resumo', 'marlene', 'mattos', 'é', '0', 'monica', 'bellucci', 'é', '10', 'e', 'vc', 'só', 'pegaria', 'a', 'partir', 'do', '5', 'bom']",3.3
51,"['homemdeverdade', 'não', 'fala', 'de', 'boquete', 'recebe', 'rt', 'sarahshoeme', 'liberdade', 'significa', 'falar', 'de', 'boquete', 'como', 'quem', 'fala', 'do', 'clima']",-1
52,"['vão', 'comer', 'arroz', 'e', 'feijão', 'seus', 'fdp', 'frescos', 'do', 'caralho']",-1
