text,class
"""não come mel, morde marimbondo""",-1
"não tem pinto, tem orgulho !",-1
Não vê essa merda de Crepúsculo! Pra isso temos a cinebiografia do Chuck Norris....,-1
"não da tapa na bundinha, da cotovelada nas costas !",-1
o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.,3.1
"uns tem saco, nós temos culhões !!!!!!!!!!!!!!!!!!!",-1
"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada",3.1
água ser essencial é coisa de maricas. Cerveja é essencial !,4.2.2
"""....não tem barriga tem calo sexual...""",-1
"""....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.""",-1
"Morte aos hipsters a as camisetas de cores citricas, morte a meias coloridinhas e as cuequinhas alegres.",-1
"@homemdeverdade não tem namorada, tem fêmea temporária.",3.3
"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",-1
"@homemdeverdade come frango cru nao a "" passarinho "" !",-1
FATO: Tem muita mulher que é muito mais @homemdeverdade do que muito mariquinha fresco por ai !,3.1@4.2.2
"@Homemdeverdade não usa capa de chuva,  @Homemdeverdade nada em tsunami !",3.1
quem não gosta de AC/DC @fodemal e não é @homemdeverdade !,3.1
"Jamais confunda um homem porco a um @homemdeverdade, um @homemdeverdade sabe bem a hora de lavar as mãos !",-1
"@homemdeverdade usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !",3.1@3.3
"@luizsergiovo : ser pós moderno não é coisa de @homemdeverdade, portanto @fodemal !",3.1
"@homemdeverdade pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",3.3
"@homemdeverdade não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",11.4
"FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!",4
Somos o foco da resistência antifrangas modernas sem culhões !,-1
"Confissões de um @homemdeverdade : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",3.1
"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",3.1@3.3
"RT @heto: cientificamente comprovado. se não curte um pornozinho, não é @homemdeverdade",3.1
"RT @gmarangoni Terry Richardson, fotógrafo do calendário da Pirelli 2010, profissão: @homemdeverdade - http://tinyurl.com/yghn7oa",-1
@homemdeverdade gosta quando @averdadeeh sem rodeios....,-1
"Enciclopédia @homemdeverdade : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !",3.3
"Ao mestre com carinho...Luiz Carlos Alborghetti (12/02/1945-9/12/2009): jornalista, radialista com culhões e @homemdeverdade R.I.P.!",-1
@XXXTRABOLD claro! @homemdeverdade não comentou nada porque esteve em algumas horas de luto e reflexão sobre sua obra. Brinde ao Mestre...,-1
@dadoqueiroz @homemdeverdade não acompanha time de meninas!,3.3
"@homemdeverdade manda um salve pra imagem da semana: nós te amamos!!!
- http://bit.ly/7ueBM0",-1
@homemdeverdade fez um serviço na cara do Silvio Berlusconi !,-1
"@LeNaZZo, @homemdeverdade mesmo, tem que ter 2 filhos em 24 territórios a sua escolha....",3.1
RT @LeNaZZo @homemdeverdade nao paga pau. Ele paga uma mocreia para tirar a zica.,3.1
"Só pra deixar claro, @homemdeverdade não faz clube do macho, turminha da foda, essas merdas machistas de baitolas recatadas !",3.1
RT @chastinet: pro @homemdeverdade construção se resume a duas coisas: Concreto e madeira.,3.1
RT @LeNaZZo: Um @homemdeverdade eh akele q sabe procriar sem deixar vestigios.,3.1
"Sugestões para um 2010 melhor: Canonizar a Punheta, a Santa Punheta, a Sagrada Bronha de domingo. Melhor amiga do @homemdeverdade !",3.1
Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!,-1
"Sugestões para um 2010 melhor: menos Calcinha Preta nas rádios, aliás, sem calcinha é bem melhor!",-1
"""As melhores mulheres são as que querem trepar com você, e as piores são as que não querem."" - Lemmy - Motörhead - @homemdeverdade",3.3
"Homem de verdade que não sabe desenhar um Pinto, não conhece o pau que tem! Honre seu Pinto!!!!",3.1
"@homemdeverdade é viver com dignidade, é um conceito em extinção plena ! Aqui tem o foco da resistência!",-1
Gostar de mulher sem ter vergonha #twittealgomuitoantigo,-1
Heterosexual e homem de verdade #twittealgomuitoantigo,3.1@4.2.2
Saber pegar sua mulher sem parecer um babaca #twittealgomuitoantigo,3.3
"Geisy no Fantástico se deu nota 8! Más noticias Geisy, isso é ilegal, a gente é quem tem que dar a nota. E vc é um 4 ruim !",-1
"@LeNaZZo os parametros para notas são complexos, em resumo: Marlene Mattos é 0, Monica Bellucci é 10 e vc só pegaria a partir do 5 bom...",3.3
"@homemdeverdade não fala de boquete, recebe. RT @SarahShoeMe """"Liberdade""... significa falar de boquete como quem fala do clima....""",-1
Vão comer arroz e feijão seus fdp frescos do caralho !!!!!!,-1
RT Um @homemdeverdade! RT @porcopedia Pra vc que desmaia qdo tira sangue ... Chegou o Plano OdontoMacho: http://307.to/fnj /(via @LeNaZZo),-1
"Se o Kassabe fosse @homemdeverdade diria ""A culpa é minha, não fiz projeto algum para as chuvas e de vcs povão porco que não cobra nada""",-1
"Sobreviver no Haiti, missão: @homemdeverdade MESMO!",-1
@mariolemes Vc é @homemdeverdade ? E tem Twitter ?,3.1
video clipe da semana: http://www.youtube.com/watch?v=IQGhq0IlVok,-1
@homemdeverdade usa twitter ? é a pergunta que fazem a todo momento.... !,-1
"Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.",3.3
"A propósito @homemdeverdade não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.",3.1
@homemdeverdade ? não! homem na metade - http://19.media.tumblr.com/tumblr_ktygckpa2E1qz88eno1_400.jpg,-1
"@homemdeverdade não precisa de #lingerieday, puta parada de Barangas-Nerds atrás de rolas virgens! Pra isso tem sites pornôs bem melhores...",3.3
"#CampusParty! Esse lugar que deve feder espinha azeda que passou da validade, tem menos mulher do que um vale tudo em Juazeiro !",3.3
"Quando o @homemdeverdade viu o #ipad gritou: Steve!!! Mesa 7, 2 cervejas, 4 copos americanos, uma porção de fritas e outrade calabresa!",-1
homem que é homem só conhece dois cheiros de mulher: o bom e o ruim.,3.1
"não usa camiseta sem manga, a menos que vá malhar ou praticar algum esporte.",-1
"""Deus é justo, mas a calça da Carol... MAMÃEEEE!""",-1
faz campeonato de peido com os amigos.,-1
bebe cana pura e não faz careta.,-1
Homem que é homem arrota com suco de laranja.,3.1
Palavra do dia que homem que é homem não diz: Fragrância.,3.1
"homem que é homem arrota com suco de laranja, no ouvido da namorada.",3.1
Homem que é homem só come carne. Peixe é coisa de bixa.,3.1
faz pontaria em qlq coisa q der na telha com jato de mijo.,-1
não lava aquela cueca q acabou de comprar antes de usar,-1
Homem que é homem brinca de girocóptero no banheiro da casa da sogra.,3.1
"conhece três cores: azul, vermelho e amarelo.",-1
Homem que é homem come doritos de pimenta com geléia extra-forte de pimenta e guaraná ice.,3.1
O porteiro é @homemdeverdade! RT @_latinlover_ Massagear o EGO de uma mulher não é elogiar sua bunda e seus peitos. Isso o porteiro faz,-1
"tem mão de homem, ou seja, com calos.",3.1
Homem que é homem não assiste a fazenda.,3.1
"""Musical? kiporréssa?!"" Por um homem que é homem",3.1
SEXO-CHURRASCO-CERVEJA-DORMIR ! #carnavalem4palavras,-1
Homem que é homem não nota o esmalte das mulheres,3.1
Homem que é homem não come; bebe.,3.1
Homem que é homem troca o pênis por 1 fígado a mais.,3.1
não brocha com calcinha bege,-1
não sabe que cor é bege,-1
@fodemal se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.,10.2
"Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!",-1
Manda pro seu amigo franguinha - http://bigassmessage.com/2fef80ca9,-1
Feliz dos homens que gostam de mulheres - http://look-look.tumblr.com/,4.2.2
Aquelas 130 operárias que foram queimadas dentro da fábrica em 1857 são  @homemdeverdade !  mais que muito bundão covarde sem carater.,-1
@homemdeverdade quando vacila assume rapidamente a responsabilidade e paga o erro com humor!,3.1
Dar risada de si mesmo: @homemdeverdade ! Rir das cagadas alheias melhor ainda ...,-1
Essa hora sexta feira @homemdeverdade não vai pra baladinha de vagabundo....Essa hora já demos duas! Agora é só relax...,3.1
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!,-1
Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?,4.2.2
Agora sim @homemdeverdade pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE,3.1
@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?,-1
"Mesmo a pedidos, me recuso falar do BBB! @homemdeverdade não entra em programinha pra ganhar milhão. A gente ganha na batalha do dia a dia!",3.1
"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!",-1
Ricky Martin!!!!! Demorou tanto tempo assim pra assumir pq? Tava dando a bunda? É? Não se reprima caralho! Literalmente pra vc....,-1
"No futebol, #HQEH é atacante. Acha meio-de-campo coisa de veado.",3.1@4.2.2
#HQEH não sai mostrando a sua bunda em época de carnaval.,3.1
#HQEH não pergunta à esposa/namorada onde ela quer ir. Fala pra onde eles vão e pronto.,3.3
#HQEH acorda cedo pra assistir os jogos da Copa. #worldcup,3.1
@brunynhobtc esse é o espirito true man!,-1
Pra você que não gosta de futebol. Foda-se!!!! Seu mané sem alma.,-1
"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!",-1
Frangas de plantão ! EU VOLTEI !!!!! CHHUUUUUPAAAAAA,-1
"Vc é chique benhe
 (@ryan_reminho live on http://twitcam.com/11hdu))",-1
"Nossa, não gosto de cameras.. rs (@ryan_reminho live on http://twitcam.com/11hdu))",-1
"Tadinho do Goby rsrsrs
 (@ryan_reminho live on http://twitcam.com/11hdu))",-1
"Bom, gente, boa twitcam pra todosssss.... CHeirossss (@ryan_reminho live on http://twitcam.com/11hdu))",-1
"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",-1
"@fcnossamorango Excelente post, história tb... :)",-1
RT @SalveNordeste: Obrigado pelo seu apoio e contamos com vc para a divulgação da campanha e as #salvealagoas  e #salvepernambuco,-1
"@ThaisBza kkkkkk massa, né? Pode passar pra frente, claro! Cheiros!",-1
Já sentiram q tá tudo errado? Q as pessoas mais importantes acabam s perdendo por erros/inseguranças tuas? #foda Hora de mudar! Boas noites!,-1
@aninha_ebc Tá no msn????,-1
"@aninha_ebc Nossa, ta chiques rs.. mtos contatos hahaah ta boa?",-1
"@angelicamorango NUsssss, magavilha, heinnn. MAssa esse promo!",-1
Com H maiúsculo não tem Twitter. Então você já sabe quem deve ter criado esse perfil.,-1
"Não gosta de ""bater papo"" no MSN. Ele responde porque os outros falam. Nem tem tempo pra frescura.",3.1
"Não ""faz as unhas"" e nem corta com tesoura, corta com o trinco mesmo.",-1
"Não usa roupa cor-de-rosa, nem roxo.",-1
Não faz a barba todo dia.,-1
Não gosta de fazer compras. Faz porque a mulher força.,3.1
Olha primeiro pros peitos das mulheres.,3.3
"Gosta de futebol, cerveja e mulheres.",-1
"Tem amiga, mas morre de vontade é de comê-las!",3.3
Eu volteiiii agora pra ficarrrr,-1
Convida nui de Sampa! RT @HTColorido    Vamos p uma baladinha em sampa??? @fabsramos @LiviaCastroFoto @tiaglopes @brunomatos e Lucas,-1
"""Ninguém chega em casa falando “mãe, sou hétero”. Então por que tem que chegar e dizer “mãe, sou gay”?” BY @MariaGadu. #epronto",-1
"@angelicamorango Taí.. qria um picolé de carambola. Ou Jambo. #recifefeelings... Mas, o dia, hj, mto trab. E a noite? ""A solidão é fera...""",-1
Oxente! Pq? Sou tão santa... rs...RT @agdabritto  @DocePimenta_Sp oooooooooo maluca,-1
"não! 1 coisa ñ elimina a outra! RT @Quase_Gay @agdabritto ain menina tenho entrevista d emprego semana que vem, vou sair da prostituição #rs",-1
@angelicamorango A pimenta comentada na estrevista:  http://twitpic.com/1o2bln,-1
Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @angelicamorango. Serio! Saco! #boloderolofeelings,-1
@angelicamorango Hj tdo mundo preoc c uma colega no escrit que eu sabia q tinha ido fazer entrevista. Eu disfarçando e fazendo a preocupada!,-1
Não! Nasceu em 13.12.1978! #Acredite! Meu Apelido de infância: Maria Desastre RT @AlineBorel    tá pra nascer pessoa mais desastrada que eu.,-1
Hj eu vi a @biacampos12 perguntando p @angelicamorango no TT como funciona a promoção e a Dona Morangorespondendo como funciona #odiadehoje,-1
"@AlineBorel É sério. Qq dia te relato umas boas. Sou especialista pós-graduada em auto flagelação e me formei em ""desligamento"": exemplo...",-1
